Crazyflie name,QTM packet timestamp (s),x (m),y (m),z (m),yaw (°),vx (m/s),vy (m/s),vz (m/s),vx_c (m/s),vy_c (m/s),vz_c (m/s),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM)
cf3,2342.3199999999997,-0.7116730346679687,-0.044557403564453125,0.007975557804107667,-0.018497919663786888,-0.001071166992184655,0.0001422882080081334,-9.708404541016058e-05,None,None,None,None,None,None,None
cf1,2342.3399999999997,0.3399193725585938,0.9821312866210937,0.0240929012298584,0.02229834906756878,6.408691406451228e-05,0.0021881103515606266,-0.002238273620607442,None,None,None,None,None,None,None
cf2,2342.3399999999997,0.31250946044921873,-0.8028504638671875,0.006848108291625976,0.009473324753344059,-0.0004150390625016653,0.0002838134765650674,-0.0010784149169931676,None,None,None,None,None,None,None
cf3,2342.3399999999997,-0.7116536865234375,-0.044574951171875,0.007960004329681396,-0.016166847199201584,0.0009674072265606265,-0.0008773803710946174,-0.0007776737213142366,None,None,None,None,None,None,None
cf1,2342.3599999999997,0.33989437866210936,0.98213037109375,0.024116910934448243,0.02229834906756878,-0.0012496948242219073,-4.5776367185765277e-05,0.0012004852294932543,None,None,None,None,None,None,None
cf2,2342.3599999999997,0.31251296997070316,-0.8028724975585938,0.0068517737388610845,0.009473324753344059,0.00017547607422135209,-0.0011016845703159,0.00018327236175557873,None,None,None,None,None,None,None
cf3,2342.3599999999997,-0.7116688232421875,-0.04458013534545899,0.007978487491607665,-0.016166847199201584,-0.0007568359374994449,-0.0002592086791995267,0.0009241580963142886,None,None,None,None,None,None,None
cf1,2342.38,0.33989791870117186,0.9821144409179687,0.024104583740234376,0.02229834906756878,0.00017700195312111421,-0.0007965087890464018,-0.0006163597106798805,None,None,None,None,None,None,None
cf2,2342.38,0.3125176086425781,-0.8028723754882813,0.006856931209564209,0.006532751955091953,0.00023193359374222843,6.103515626110223e-06,0.0002578735351505948,None,None,None,None,None,None,None
cf3,2342.38,-0.711654052734375,-0.04457938003540039,0.00797787380218506,-0.012321243062615395,0.0007385253906094569,3.776550292892422e-05,-3.068447112962082e-05,None,None,None,None,None,None,None
cf1,2342.4,0.33990618896484376,0.9821138916015625,0.024093683242797852,0.024507660418748856,0.0004135131835951031,-2.746582031256939e-05,-0.0005450248718266815,None,None,None,None,None,None,None
cf2,2342.4,0.3125527038574219,-0.8028602905273438,0.006794651508331299,0.006532751955091953,0.0017547607421913164,0.0006042480468765266,-0.003113985061648354,None,None,None,None,None,None,None
cf3,2342.4,-0.7116502685546875,-0.044555610656738284,0.008026560783386231,-0.012321243062615395,0.00018920898437486123,0.0011884689331065053,0.0024343490600607924,None,None,None,None,None,None,None
cf1,2342.42,0.33985809326171873,0.982119140625,0.024142429351806643,0.024507660418748856,-0.002404785156253608,0.000262451171878747,0.0024373054504417363,None,None,None,None,None,None,None
cf2,2342.42,0.31255047607421876,-0.8028623657226562,0.0067917718887329104,0.006532751955091953,-0.0001113891601568398,-0.00010375976562402855,-0.00014398097991953713,None,None,None,None,None,None,None
cf3,2342.42,-0.7116735229492188,-0.04454694366455078,0.008042884826660157,-0.012321243062615395,-0.0011627197265672879,0.0004333496093755551,0.0008162021636970404,None,None,None,None,None,None,None
cf1,2342.44,0.3398544921875,0.9821139526367187,0.024182905197143556,0.0320843830704689,-0.00018005371093548773,-0.0002593994140656225,0.0020237922668475006,None,None,None,None,None,None,None
cf2,2342.44,0.31250616455078123,-0.8028583984375001,0.006962456226348877,-0.006753545720130205,-0.002215576171878747,0.0001983642578086836,0.00853421688080608,None,None,None,None,None,None,None
cf3,2342.44,-0.711696044921875,-0.04444837951660156,0.008131800651550293,0.009138723835349083,-0.0011260986328097938,0.00492820739746537,0.004445791244510821,None,None,None,None,None,None,None
cf1,2342.46,0.3398620300292969,0.9820564575195313,0.024273563385009765,0.0320843830704689,0.0003768920898431602,-0.0028747558593748613,0.004532909393314578,None,None,None,None,None,None,None
cf2,2342.46,0.3124844970703125,-0.8028540649414063,0.0070754561424255374,-0.006753545720130205,-0.001083374023437153,0.0002166748046874306,0.005649995803838169,None,None,None,None,None,None,None
cf3,2342.46,-0.7117388305664063,-0.04433267974853516,0.008333403587341309,0.009138723835349083,-0.0021392822265672877,0.00578498840332556,0.01008014678955998,None,None,None,None,None,None,None
cf1,2342.48,0.33988616943359373,0.982095703125,0.024488594055175783,0.058937918394804,0.0012069702148437152,0.0019622802734393734,0.010751533508310674,None,None,None,None,None,None,None
cf2,2342.48,0.3124693908691406,-0.8028276977539063,0.007402985095977783,-0.0614623948931694,-0.0007553100585956582,0.0013183593750033308,0.01637644767762717,None,None,None,None,None,None,None
cf3,2342.48,-0.7118568115234375,-0.04404941558837891,0.009058022499084472,0.009138723835349083,-0.005899047851565068,0.014163208007825268,0.03623094558719112,None,None,None,None,None,None,None
cf1,2342.5,0.34002301025390624,0.9821851806640626,0.025056047439575197,0.058937918394804,0.0068420410156318,0.004473876953130135,0.02837266921999651,None,None,None,None,None,None,None
cf2,2342.5,0.3123204345703125,-0.8028818969726562,0.008538562774658203,-0.0614623948931694,-0.007447814941412114,-0.002709960937499445,0.05677888393407266,None,None,None,None,None,None,None
cf3,2342.5,-0.7120302734375,-0.04366922378540039,0.010908674240112305,0.11827477812767029,-0.008673095703134575,0.019009590148943236,0.0925325870514758,None,None,None,None,None,None,None
cf1,2342.52,0.3401912841796875,0.9823953857421875,0.02647524642944336,0.058937918394804,0.008413696289071728,0.010510253906258048,0.07095994949347269,None,None,None,None,None,None,None
