Crazyflie name,QTM packet timestamp (s),x (m),y (m),z (m),yaw (°),vx (m/s),vy (m/s),vz (m/s),vx_c (m/s),vy_c (m/s),vz_c (m/s),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM)
cf1,157.29999999999998,0.5581160278320313,0.4441847839355469,0.013802977561950683,0.0030566134955734015,-0.0005249023437463918,-0.0004852294921868755,0.000363254547119403,None,None,None,None,None,None,None
cf2,157.29999999999998,0.5641500854492187,-0.5470001220703126,0.007926907062530518,-0.04132097586989403,0.0005767822265639571,-0.00028076171875194287,-9.143352508551156e-05,None,None,None,None,None,None,None
cf3,157.29999999999998,-0.4522221374511719,-0.5476118774414063,0.00041194516420364383,0.03389181196689606,0.00014190673827975815,-0.0002410888671868755,0.0005408525466923878,None,None,None,None,None,None,None
cf1,157.32,0.5581077270507813,0.44416198730468753,0.013796182632446289,0.0030566134955734015,-0.0004150390625010755,-0.0011398315429672343,-0.00033974647521955276,None,None,None,None,None,None,None
cf2,157.32,0.5641268920898438,-0.5470195922851563,0.007963364601135253,-0.04132097586989403,-0.0011596679687469642,-0.000973510742185492,0.0018228769302358484,None,None,None,None,None,None,None
cf3,157.32,-0.4522344360351563,-0.5476088256835938,0.00041127905249595644,0.03389181196689606,-0.0006149291992188128,0.0001525878906227015,-3.330558538435271e-05,None,None,None,None,None,None,None
cf1,157.34,0.5581021118164062,0.44416275024414065,0.013812932968139648,0.005205223802477121,-0.0002807617187515439,3.814697265567537e-05,0.0008375167846675548,None,None,None,None,None,None,None
cf2,157.34,0.5641422729492188,-0.5470223388671875,0.007959644317626953,-0.041298385709524155,0.00076904296875085,-0.0001373291015626518,-0.00018601417541493626,None,None,None,None,None,None,None
cf3,157.34,-0.4522259521484375,-0.5476139526367187,0.0004217548668384552,0.032021474093198776,0.00042419433593766047,-0.0002563476562465826,0.0005237907171246713,None,None,None,None,None,None,None
cf1,157.35999999999999,0.55810498046875,0.444171142578125,0.013819211959838868,0.005205223802477121,0.00014343261718909595,0.00041961669921857653,0.0003139495849612584,None,None,None,None,None,None,None
cf2,157.35999999999999,0.5641448364257813,-0.5470050659179687,0.007955366611480713,-0.041298385709524155,0.00012817382812347345,0.0008636474609421491,-0.00021388530731215213,None,None,None,None,None,None,None
cf3,157.35999999999999,-0.4522182312011719,-0.5476098022460938,0.0004278305172920227,0.032021474093198776,0.0003860473632825337,0.0002075195312480571,0.00030378252267865123,None,None,None,None,None,None,None
cf1,157.38,0.5581099853515625,0.4441739196777344,0.01381059741973877,0.007941331714391708,0.00025024414062589336,0.00013885498046921186,-0.0004307270050046361,None,None,None,None,None,None,None
cf2,157.38,0.5641548461914062,-0.546992431640625,0.008010116577148438,-0.02939598448574543,0.0005004882812462356,0.0006317138671826471,0.0027374982833848183,None,None,None,None,None,None,None
cf3,157.38,-0.45222003173828124,-0.5476151123046875,0.0004752015471458435,0.041668593883514404,-9.002685546761593e-05,-0.00026550292968594306,0.002368551492689828,None,None,None,None,None,None,None
